id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
311,2025-09-09,16:16:07,25.12,25.22,54.95,56.08,ON,2025-09-09 16:16:07
312,2025-09-09,16:17:08,25.05,25.15,55.53,56.53,ON,2025-09-09 16:17:08
313,2025-09-09,16:18:08,25.07,25.15,55.09,56.38,ON,2025-09-09 16:18:08
314,2025-09-09,16:19:09,25.1,25.1,55.76,57.35,ON,2025-09-09 16:19:09
315,2025-09-09,16:20:09,25.14,25.22,54.55,56.28,ON,2025-09-09 16:20:09
316,2025-09-09,16:21:10,25.1,25.18,54.44,56.13,ON,2025-09-09 16:21:10
317,2025-09-09,16:22:11,24.82,24.92,55.06,56.18,ON,2025-09-09 16:22:11
318,2025-09-09,16:23:12,24.79,24.86,55.5,56.88,ON,2025-09-09 16:23:12
319,2025-09-09,16:24:12,24.84,24.91,55.64,56.8,ON,2025-09-09 16:24:12
320,2025-09-09,16:25:12,24.84,24.91,56.28,57.65,ON,2025-09-09 16:25:12
321,2025-09-09,16:26:12,24.92,25.09,54.83,56.36,ON,2025-09-09 16:26:12
322,2025-09-09,16:27:13,24.71,24.92,55.04,56.26,ON,2025-09-09 16:27:13
323,2025-09-09,16:28:14,24.69,24.87,55.55,57.25,ON,2025-09-09 16:28:14
324,2025-09-09,16:29:15,24.7,24.83,55.41,56.45,ON,2025-09-09 16:29:15
325,2025-09-09,16:30:15,24.69,24.88,55.15,56.48,ON,2025-09-09 16:30:15
326,2025-09-09,16:31:15,24.64,24.83,55.23,56.85,ON,2025-09-09 16:31:15
327,2025-09-09,16:32:16,24.6,24.88,55.6,56.81,ON,2025-09-09 16:32:16
328,2025-09-09,16:33:17,24.69,24.96,55.8,57.3,ON,2025-09-09 16:33:17
329,2025-09-09,16:34:17,24.72,24.75,54.46,56.14,ON,2025-09-09 16:34:17
330,2025-09-09,16:35:17,24.6,24.77,55.11,56.88,ON,2025-09-09 16:35:17
331,2025-09-09,16:36:18,24.54,24.63,55.32,56.51,ON,2025-09-09 16:36:18
332,2025-09-09,16:37:18,24.44,24.62,55.09,56.73,ON,2025-09-09 16:37:18
333,2025-09-09,16:38:19,24.51,24.54,55.39,56.91,ON,2025-09-09 16:38:19
334,2025-09-09,16:39:19,24.44,24.51,55.38,57.07,ON,2025-09-09 16:39:19
335,2025-09-09,16:40:20,24.32,24.53,55.31,56.81,ON,2025-09-09 16:40:20
336,2025-09-09,16:41:20,24.36,24.41,55.6,56.98,ON,2025-09-09 16:41:20
337,2025-09-09,16:42:20,24.37,24.51,55.16,56.88,ON,2025-09-09 16:42:20
338,2025-09-09,16:43:21,24.36,24.49,55.32,56.85,ON,2025-09-09 16:43:21
339,2025-09-09,16:44:21,24.27,24.51,55.66,56.98,ON,2025-09-09 16:44:21
340,2025-09-09,16:45:21,24.32,24.49,55.52,57.0,ON,2025-09-09 16:45:21
341,2025-09-09,16:46:22,24.28,24.47,56.24,57.72,ON,2025-09-09 16:46:22
342,2025-09-09,16:47:23,24.25,24.47,55.32,57.47,ON,2025-09-09 16:47:23
343,2025-09-09,16:48:23,24.32,24.53,55.62,57.08,ON,2025-09-09 16:48:23
344,2025-09-09,16:49:24,24.48,24.55,55.22,56.97,ON,2025-09-09 16:49:24
345,2025-09-09,16:50:24,24.67,24.65,56.17,58.17,ON,2025-09-09 16:50:24
346,2025-09-09,16:51:25,24.69,24.65,54.99,56.86,ON,2025-09-09 16:51:25
347,2025-09-09,16:52:25,24.85,24.82,55.0,56.66,ON,2025-09-09 16:52:25
348,2025-09-09,16:53:26,24.85,24.86,54.86,56.73,ON,2025-09-09 16:53:26
349,2025-09-09,16:54:27,25.0,24.88,54.37,56.65,ON,2025-09-09 16:54:27
350,2025-09-09,16:55:27,24.85,24.87,55.23,56.53,ON,2025-09-09 16:55:27
351,2025-09-09,16:56:28,24.82,24.96,54.56,56.23,ON,2025-09-09 16:56:28
352,2025-09-09,16:57:28,24.82,24.84,54.32,56.41,ON,2025-09-09 16:57:28
353,2025-09-09,16:58:28,24.67,24.84,55.22,56.75,ON,2025-09-09 16:58:28
354,2025-09-09,16:59:28,24.8,24.92,54.62,56.26,ON,2025-09-09 16:59:28
355,2025-09-09,17:00:28,24.86,24.88,54.95,56.73,ON,2025-09-09 17:00:28
356,2025-09-09,17:01:28,24.98,24.98,54.16,56.08,ON,2025-09-09 17:01:28
